asin,date,priceNew,priceUsed
B000077CPQ,20121219,16.12,16.84
B000077CPQ,20121225,18.36,10.2
B000077CPQ,20130311,17.26,
B000077CPQ,20130311,17.26,10.2
B000077CPQ,20130808,17.26,
B000077CPQ,20130808,,
B000077CPQ,20130930,,13.86
B000077CPQ,20131001,,14.54
B000077CPQ,20131005,,14.42
B000077CPQ,20131201,,14.12
B000077CPQ,20131202,,14.18
B000077CPQ,20131227,,13.59
B000077CPQ,20140123,,14.67
B000077CPQ,20140516,,13.93
B000077CPQ,20140522,,13.97
B000077CPQ,20140801,,16.95
B000077CPQ,20141103,,16.38
B000077CPQ,20141214,,14.66
B000077CPQ,20150110,,12.95
B000077CPQ,20150211,,15.69
B000077CPQ,20150221,17.88,15.69
B000077CPQ,20150330,18.03,15.69
B000077CPQ,20150406,18.22,15.85
B000077CPQ,20150418,17.85,14.99
B000077CPQ,20150506,16.64,14.99
B000077CPQ,20150511,16.65,15
B000077CPQ,20150607,28,15
B000077CPQ,20150608,28,15
B00008WFT3,20121219,,
B00008WFT3,20121225,139.95,110
B00008WFT3,20130310,199.99,89.95
B00008WFT3,20130503,182.99,89
B00008WFT3,20130515,182.99,89.95
B00008WFT3,20130525,182.99,76.28
B00008WFT3,20130901,,76.28
B00008WFT3,20130901,182.99,76.28
B00008WFT3,20131111,,89.95
B00008WFT3,20131114,,89.99
B00008WFT3,20140117,,79.99
B00008WFT3,20140210,148.99,80.99
B00008WFT3,20140906,129.99,62.5
B00008WFT3,20141026,132.95,62.5
B00008WFT3,20141103,132.95,74.99
B00008WFT3,20141108,125,74.99
B00008WFT3,20141108,134.99,74.99
B00008WFT3,20141117,124.99,81.99
B00008WFT3,20141130,119,59.99
B00008WFT3,20141223,129.99,59.99
B00008WFT3,20141231,139.99,69.99
B00008WFT3,20150103,128,69
B00008WFT3,20150112,135.99,68.95
B00008WFT3,20150206,109,68.9
B00008WFT3,20150228,109,68.95
B00008WFT3,20150607,148.95,90.99
B00008WFT3,20150608,148.95,90.99
B00009KDGY,20121219,188.9,157.01
B00009KDGY,20130808,188.9,157.01
B00009KDGY,20130808,,157.01
B00009KDGY,20131029,164.99,92.97
B00009KDGY,20131117,164.99,92.97
B00009KDGY,20131117,,92.97
B00009KDGY,20150607,192,92.97
B00009KDGY,20150608,192,92.97
B0009H4YIS,20121219,97.5,50
B0009H4YIS,20121228,100.58,
B0009H4YIS,20121228,100.58,50
B0009H4YIS,20130313,98.9,
B0009H4YIS,20130506,89.99,
B0009H4YIS,20150317,79.99,49.14
B0009H4YIS,20150607,84.6,34.14
B0009H4YIS,20150608,84.6,34.14
B0009HAHDO,20121219,89.98,74.99
B0009HAHDO,20130212,99,65.93
B0009HAHDO,20130502,99,60
B0009HAHDO,20130530,99,58.46
B0009HAHDO,20130609,99,64.94
B0009HAHDO,20131109,,64.94
B0009HAHDO,20131109,99,64.94
B0009HAHDO,20131110,91,54.95
B0009HAHDO,20131116,91,51.95
B0009HAHDO,20131127,87.99,51.95
B0009HAHDO,20131226,79.97,51.95
B0009HAHDO,20140120,91,51.95
B0009HAHDO,20140215,89.98,65.72
B0009HAHDO,20141005,89,65.72
B0009HAHDO,20141005,89,61.76
B0009HAHDO,20141201,72.48,60
B0009HAHDO,20150222,89,75
B0009HAHDO,20150607,79,75
B0009HAHDO,20150608,79,75
B0009Q4MBI,20121219,78.98,53.52
B0009Q4MBI,20130803,78.98,53.99
B0009Q4MBI,20130808,,53.99
B0009Q4MBI,20130808,78.98,53.99
B0009Q4MBI,20131215,69.98,35.96
B0009Q4MBI,20131222,69.99,35.96
B0009Q4MBI,20140703,69,35.96
B0009Q4MBI,20150607,89.99,35.96
B0009Q4MBI,20150608,89.99,35.96
B000GIIRLK,20121219,89.98,81.06
B000GIIRLK,20121221,89.98,74.25
B000GIIRLK,20121225,99,74.25
B000GIIRLK,20121226,89.98,61.99
B000GIIRLK,20121226,89.98,74.25
B000GIIRLK,20121228,89.98,64.36
B000GIIRLK,20121228,89.98,74.26
B000GIIRLK,20121229,89.98,64.38
B000GIIRLK,20121230,89.98,64.76
B000GIIRLK,20130104,89.98,57.79
B000GIIRLK,20130110,89.98,57.78
B000GIIRLK,20130113,89.98,72.2
B000GIIRLK,20130114,89.98,
B000GIIRLK,20130114,89.98,72.2
B000GIIRLK,20130122,89.98,82.84
B000GIIRLK,20130129,104.85,82.84
B000GIIRLK,20130130,104.85,96.54
B000GIIRLK,20130131,104.89,96.54
B000GIIRLK,20130131,104.89,96.57
B000GIIRLK,20130201,105.21,96.57
B000GIIRLK,20130202,105.21,96.87
B000GIIRLK,20130203,105.34,96.87
B000GIIRLK,20130203,105.43,96.99
B000GIIRLK,20130203,105.43,96.87
B000GIIRLK,20130204,105.43,97.07
B000GIIRLK,20130207,106.03,97.07
B000GIIRLK,20130209,89.98,85
