,reviewId,tokenLength,reviewStars
0,R100MLLP5JEO2A,6,5
1,R100XFA124F3M2,1,5
2,R100Y9O8UJJQL8,1,5
3,R1017GW3DM5AJO,8,5
4,R101GIAXB9HSTI,50,3
5,R101MKYIB93PM2,63,5
6,R101OUYS17QP4P,15,3
7,R101VRHLI5HVPJ,37,5
8,R1024BPLWL2WIY,13,3
9,R1026TUFJ8C9JZ,22,5
10,R103RMFJKCGFMS,7,5
11,R104HWZA39QO3F,18,5
12,R104QM2HFU1N19,14,4
13,R104SFLIDPPBXN,14,5
14,R104XEP3AYW2WA,12,5
15,R105EDI2N3ZCQA,24,5
16,R105I5UKFLAUCP,74,5
17,R105MJAZQLATRE,11,5
18,R105PT7E0SBH9I,26,4
19,R105UMHZZ0P8T0,51,4
20,R106QY87GKZBL1,39,2
21,R106UDWMNIUY1T,32,5
22,R106XBS17W4YBO,11,2
23,R106YS6PM3TRPX,19,5
24,R107E5F39Q6P61,23,5
25,R107Z06S59CD8O,14,5
26,R10839HBSJQD1Q,42,5
27,R1084SK9HK4MHS,95,5
28,R108D6HPPEKRW6,10,5
29,R108EWV0AN8N2P,8,5
30,R108MVVR9T93NF,14,5
31,R108P0RS4SPSM0,23,3
32,R108UF6KHFVWL,5,5
33,R109344SCZCORE,17,4
34,R10A3AMRMZLGQ2,11,5
35,R10A6JYF71KPDX,41,2
36,R10AE996T1KX6O,11,5
37,R10AITDQKSK7CL,17,5
38,R10BW5NAXTFK0S,2,5
39,R10CQMTV109TIX,28,4
40,R10CSZFFIM4N3E,24,1
41,R10CUSOJZ7I4W7,1,5
42,R10D6RXC5EQD1T,6,5
43,R10DE8GDSRDZ6,5,5
44,R10DZFFS635IHT,3,5
45,R10E7D487J5XNX,13,4
46,R10EPP6KQYIHYV,14,5
47,R10F5Q40DA7J4R,3,5
48,R10FCYFDEIOV6,18,3
49,R10FYV64RTMACJ,16,5
50,R10GJ4Q61FISJV,10,5
51,R10GKZYCNKS7O6,1,5
52,R10H34NNXQVQA5,114,5
53,R10HCINTH7AQH0,4,1
54,R10HWQ9CI3Y3KD,12,5
55,R10IJ95PA3I857,9,4
56,R10JHM0A7J3B8A,60,5
57,R10JKQ5J6Z4NBO,2,5
58,R10JL2FDYY3OCQ,13,5
59,R10JPCCVONE2C8,27,4
60,R10JW3W3Q3S5VS,23,5
61,R10KIJYP7GOK9S,18,5
62,R10KY4X6P1VOCL,37,5
63,R10KZ3ZLVRT7VF,15,5
64,R10LJMQD40MNVY,11,5
65,R10LK4217362UZ,11,4
66,R10LX3GNLJONRK,1,5
67,R10N5K6VL270ZH,23,5
68,R10NM86ZPUFPCT,5,4
69,R10NN5S75LTNNA,2,5
70,R10O7P2MFC5LEV,81,5
71,R10O7W1FXGAT09,33,5
72,R10OZ1T7OWXQPB,66,2
73,R10OZ5AS777EDH,13,3
74,R10PAA50JFK6BZ,30,4
75,R10PC9XMPSGT95,5,4
76,R10PV11EWDLB1F,26,2
77,R10PV5FFB0QM6H,4,1
78,R10PZNGJYNVW84,275,2
79,R10Q7P5T6U24WQ,14,5
80,R10QAZCD9DP3B7,61,5
81,R10QQC0NIMHQTQ,11,4
82,R10R1X4KTSQLJB,18,5
83,R10REM0TQBJF25,37,5
84,R10RH4D9FJG1X5,25,1
85,R10RPD0N802UUP,17,5
86,R10SJJKS73GGDG,15,5
87,R10TGQPI45PXMV,31,1
88,R10TLLFGZTJP04,9,5
89,R10TT0D7W33CZD,27,5
90,R10TZ5FD2QVEOO,32,5
91,R10U6P1ICUGMFH,11,5
92,R10U6T4TYKS8N2,10,4
93,R10URBHKGCTWXC,24,5
94,R10URNSZE09T7D,2,3
95,R10VP3L30IZ8I8,13,4
96,R10VSZF37SS8C7,22,5
97,R10WA6WD7K3VV8,57,3
98,R10WBMK0LNN9KG,66,5
99,R10WKCUHC0YFMF,22,5
100,R10WQY0EDDGY2N,6,5
101,R10WS0HHP7WC3U,14,4
102,R10WVME87TG1VU,12,5
103,R10XMCDP2M48Y7,2,5
104,R10YCP0OO9HBSH,1,5
105,R10YCXXWLXHN6Z,35,1
106,R10YECZF3NEXPA,14,5
107,R10YJYJC2Z67DP,14,5
108,R10YRFJTZNNIA9,27,5
109,R10Z0EXJ3XC67K,11,4
110,R10Z6B1LAES3WL,14,5
111,R10ZLVGAUJQENG,45,4
112,R1107QI9WOTZA1,11,3
113,R1117S45C8H8VZ,15,5
114,R1120ZZU71ZP84,16,5
115,R112189DQXML7G,74,3
116,R1126K9PW92ZEA,1,5
117,R112HQFX2M6XYN,11,5
118,R112K5PMSEW2Y4,37,5
119,R1131QVA2DV6WQ,1,5
120,R1137SDZ6DY8JG,20,5
121,R113N8FR16LAWC,16,5
122,R114CF9N4J5KOG,52,5
123,R114F3DVIWUQXN,29,5
124,R11548P1TLJ5B7,10,5
125,R115ALM644EJ2E,21,5
126,R115FLHRNBVG02,2,5
127,R115MJ88UCM4MW,8,5
128,R1166Z33JQ4PI9,14,5
129,R116DQ8EIQEC5X,9,5
130,R116F72KQQ70U3,79,5
131,R116VGYY7JVM1Z,31,4
132,R1175DCYLVF8L,5,5
133,R117NE02AYQ240,20,5
134,R119CG2WXCQJG5,2,5
135,R119PDFV5HEC28,135,5
136,R11AJZRE8R377E,13,5
137,R11B6L20N26RID,32,5
138,R11BHYHQZ9BP1Y,2,5
139,R11CXMCRE96C4V,15,5
140,R11DI5BUZDHZQ7,14,5
141,R11DPWNLIMFRXB,1,5
142,R11EMBFNLI0OXX,46,5
143,R11EOF3VW8BWGS,16,5
144,R11ESAXGZYCS7D,19,5
145,R11EUVL10OWLE2,16,5
146,R11F564QOQWSMQ,2,5
147,R11FANJGSZ0Y7O,41,5
148,R11FBOXX3HF42E,19,5
149,R11G3GMC8HHHMA,10,5
150,R11H8EAGJKNWT0,5,5
151,R11I90PTSG00CC,9,5
152,R11ID33ZD6II19,17,3
153,R11IEH6U8NG559,13,5
154,R11JANFXZ7E035,3,4
155,R11JNC5DFX9EYS,1,5
156,R11JVE8EFS5HSJ,63,4
157,R11K70FD36HBER,11,4
158,R11K8BCE3FS2LC,12,5
159,R11KBIMR8GNW95,10,4
160,R11KECPFPS45FX,2,5
161,R11KRJND7F8315,2,5
162,R11KSXTFR61RZI,74,5
163,R11KY9SUNNCMEW,124,5
164,R11L9BLPERZBKJ,48,5
165,R11LWLO993EY4N,15,5
166,R11M3C65AMCOJZ,17,4
167,R11MABC1N2K0XU,7,5
168,R11MJW637H8MOL,67,5
169,R11MRPIQDMF9SK,69,1
170,R11N1DZXTQGZRC,62,5
171,R11NA0YI20QYX9,14,5
172,R11NMANKHXCDIA,371,4
173,R11O4AKOMRWIX7,44,5
174,R11OL90LFTMRB1,4,5
175,R11ON9MXMX4IE,24,4
176,R11OPF1CRHKED2,152,5
177,R11P8OYMOGJCMG,12,5
178,R11PF71SW1VGY5,18,4
179,R11PPJQXBK8VN5,11,4
180,R11PXB54L0N5OZ,61,4
181,R11Q0GZNUYL2EF,13,4
182,R11QEZCPZPRULX,10,4
183,R11QR4J7UDIPLO,38,5
184,R11S5MST09DFC6,2,4
185,R11SOCJMDZ7CTS,9,2
186,R11TCVNIV4XOGV,9,5
187,R11TEV1RPIAUE1,10,4
188,R11UAVJINXKH2F,25,4
189,R11UVOC67N3BLA,13,5
190,R11V01SA7NKIAM,10,1
191,R11V5FUM603PQ0,53,5
192,R11VGDL3BIHUQZ,8,5
193,R11W1405SQH2YC,40,5
194,R11WA4DVSOSYM4,32,5
195,R11WHVWGUZ3OUL,15,5
196,R11WUV9XY15P8V,122,5
197,R11WZR25RR67T2,22,5
198,R11XBQQ097IYRW,6,5
199,R11XIA31Y04WX4,15,5
200,R11XWHTWVX3D0T,13,1
201,R11XZ0DBZU3IE4,27,5
202,R11Y4MU8KTA5UC,29,2
203,R11Y9BOBZPQ0UU,18,5
204,R11YEWPL9BSYD0,7,5
205,R11YHRM7P4XFYF,6,5
206,R11YW2O37JFF5A,20,5
207,R11Z1T97Z9NXTD,43,5
208,R11ZIPOV6LLGN2,9,5
209,R1200A3URX46J2,7,5
210,R1207L3ERL654O,1,5
211,R1216YFCMVG83D,12,4
212,R1217WL49826CN,6,5
213,R121HB1D3DCI1L,71,5
214,R121NNVM0BSKZ6,27,1
215,R122LIMSO0MH52,11,5
216,R122UXTUK5Q3R2,46,5
217,R122ZVYUWYE833,8,5
218,R1232387W0T1T0,5,5
219,R1234NZ9QI75LV,23,5
220,R1237JVLBX2QTL,300,5
221,R123LOZQULIJW3,4,4
222,R123PNH3P52S65,3,5
223,R123SIBNHDLXC8,6,5
224,R124HOWFDPOZ9P,3,5
225,R124I8L2S6RREB,43,4
226,R124L5WZ7O0I2Z,2,5
227,R12522LPA4XB9U,15,5
228,R125SJ2AX8R2EA,26,3
229,R12684SEMSQCOJ,2,4
230,R1273T6KWK4JHF,37,4
231,R12777ZG5B562W,9,3
232,R128O0KMWTA9L3,1,4
233,R128RXL5PVGUY,13,5
234,R128V14MPLJAY0,28,5
235,R129KAD2WF5EHH,11,5
236,R129VXVISSVJGY,27,5
237,R129ZXF4ZIU2FI,18,5
238,R12ADGDMAT8ZOM,98,5
239,R12AG1Q1NA7F0,9,5
240,R12B43O4CN6ABT,17,5
241,R12BLQNMWK09DB,17,5
242,R12CIKLG0CSO2D,26,5
243,R12CKOM9NQ4DLQ,5,4
244,R12CZKRJ5JIQ7Q,42,1
245,R12CZZ56QK3RPL,13,5
246,R12D9B5KK90184,10,5
247,R12DEOSOMXX2PF,8,5
248,R12DMVEMCPOI51,11,5
249,R12E54FX5RU9RC,12,5
250,R12ECI93F7UVPC,25,5
251,R12EEXY0Z481E3,11,5
252,R12EHTOPWVWYIY,8,5
253,R12FMW3HEZ7QTU,3,5
254,R12G504PVUU14T,36,5
255,R12GIRQEHG3RHU,26,4
256,R12GRAVWBG74HL,8,5
257,R12GVDX84PJK8I,10,4
258,R12H72757IIKLM,33,5
259,R12HIEJ6KO01DK,9,5
260,R12HPVQNWX5LSD,79,5
261,R12HT1PL4D5LR0,2,5
262,R12IDW6OT35HUI,50,3
263,R12IHR11B57FUL,42,5
264,R12J8MD6C7Y0V9,11,5
265,R12JEB7I7Y34WE,1,5
266,R12JFCWCXYYDAR,8,4
267,R12JIHPLZYARUV,113,5
268,R12JJGOOXQPMGC,16,5
269,R12JMQA4JFRVG8,25,4
270,R12JY0IY6B823Y,9,5
271,R12KBYGEFOLY0N,47,3
272,R12KCXQ4BCD3D3,13,3
273,R12KL640ID22CH,40,5
274,R12KY5ZXZ5TO8H,6,5
275,R12L8C73VA7DTA,275,5
276,R12LG2HB7TUIBT,46,1
277,R12LMRCMKBW43Q,51,1
278,R12LYLAL0SNY1A,5,1
279,R12M8LWEP9LL0S,15,4
280,R12MCRKPZ9TPEU,24,1
281,R12NKYYV24BWDX,30,4
282,R12O5MHLU0T8VA,2,5
283,R12OESIQHU8BEC,14,5
284,R12OIBG8E2W4TI,10,5
285,R12OMA0MI952LQ,34,4
286,R12OPHVG5O4B9L,17,5
287,R12OR561K6E0XS,10,5
288,R12OXQU8UYL128,16,5
289,R12OYI7XSP1B2,37,4
290,R12PCGO38E5Q9E,3,5
291,R12Q00GVM6RT8K,18,5
292,R12Q4NF71MI9OY,34,5
293,R12QAH0CAXI1KW,1,5
294,R12QC0HOPJAEPX,130,5
295,R12QER3X2KHV26,28,5
296,R12QKY60AC39O2,10,4
297,R12QSQMGNM386D,41,5
298,R12QYYNEKK48PR,19,5
299,R12RN5F9BS8D2T,47,3
300,R12SQM1FJ6RQTN,25,5
301,R12SSS753S2QHE,21,5
302,R12SWND2GTXRR4,4,3
303,R12SZW1DRXVBKE,22,5
304,R12T1SBQHI2CPY,15,3
305,R12TAFY0LBP0R9,67,5
306,R12TOQJVHRWJPT,151,5
307,R12TVN1TEPGBVQ,60,3
308,R12TYAWSY6DR1I,22,5
309,R12U81DT9DZ0CN,10,5
310,R12UBFK7TZGC0V,67,5
311,R12UCOGM8EFBS3,19,5
312,R12UDJ0W0QVDE6,17,5
313,R12UHGQTIERLYH,54,4
314,R12URXMINUWPRF,28,5
315,R12VGAGMX8Q09U,8,5
316,R12VK95P94XYVE,24,1
317,R12VTTOWZDTLSD,106,5
318,R12VULG1DBCOCO,20,5
319,R12W8E0JQSZX70,2,5
320,R12WDFR9RDHTIG,7,5
321,R12WFF5C9BGG43,20,3
322,R12WIQO70PER2B,20,5
323,R12XC80MFJWDGM,59,5
324,R12XIJKDHI7R4Z,50,5
325,R12XLYBCPBTBXD,40,5
326,R12XRM5GQCVGMN,67,5
327,R12Y274OAL8NBG,43,5
328,R12Y8T8OQ3VM9T,30,4
329,R12YGIJMIU7PTK,1,5
330,R12Z7NL0LSACRK,6,5
331,R12Z7UOXFGS3KQ,35,5
332,R12ZBX3AXA0UHM,5,5
333,R12ZZDMQ98PYSF,7,5
334,R12ZZS2OESUQ71,3,5
335,R13193BJK9QVDX,4,5
336,R131E1JSR5SO8,2,5
337,R131E4SOOTKNR8,187,4
338,R131GN60LOXWQ3,4,5
339,R131GR77CEN3F,41,5
340,R132255HTS62RU,3,5
341,R132STT9IBO7AF,14,5
342,R132U6TUK4CLW3,2,5
343,R133H5U11FY0TU,20,5
344,R133XGHQL1IKR3,6,5
345,R134KZW05A6ACN,8,1
346,R134LFG7PUJ1ZX,28,5
347,R134RDRS8ALEMR,9,2
348,R134T2CA2ZTPT5,17,5
349,R135LMG8DJB17D,103,4
350,R135RJPJFBP3ZL,21,5
351,R135X0V0X5I8I,4,5
352,R136L8NLR2O0WM,6,5
353,R136ZFGX6ORSNP,53,5
354,R137EVY27N5D2Q,3,5
355,R137U7P2AIH1WD,27,5
356,R137VKI2S3O8G5,5,5
357,R137YWZCQ9QQAX,28,2
358,R138P3L8SDFDD1,14,5
359,R139ADCAJJSAA1,145,4
360,R139DCX61G1QGJ,48,5
361,R139O6RYQ9X2WG,34,4
362,R139OO0O3PWQEP,52,5
363,R13AE04BJKOI36,48,5
364,R13AWMG0L09I6F,6,1
365,R13B077PXSLYU2,3,5
366,R13BZK17NAEHI5,12,5
367,R13C47ROXCSU2D,9,5
368,R13C4RG31P9VZM,11,5
369,R13C9DUVWP4GGT,4,5
370,R13CWYKUQDW3OV,75,5
371,R13D59UZJEGOX0,18,5
372,R13DG989V3QU4U,16,5
373,R13DIQKR6L6PZA,3,5
374,R13DIRPJ72GNMY,24,5
375,R13DLTWJWSUDVO,109,4
376,R13E48L6I62OSA,69,1
377,R13EFY79D41JUC,12,5
378,R13F2O69UMKZ18,24,5
379,R13FH05XWG9NEC,4,4
380,R13FIJ4GLBWQXD,25,5
381,R13FMCXQVMQSBG,10,4
382,R13FO8AF0C5M07,4,5
383,R13FOQR2FY4K9J,2,4
384,R13G1C9XP896IO,23,5
385,R13HPIZ1WOXAL3,33,5
386,R13II5SJXO9XIZ,12,5
387,R13JA882DYS0JL,4,5
388,R13JIVM4GF4JQD,10,5
389,R13JRTQ70UB03S,93,2
390,R13JT8YN8V84DC,12,4
391,R13JU9HBLLI4RO,31,3
392,R13JX3FL7CVFLT,9,5
393,R13K5Z2EGEO2LW,8,5
394,R13K8G6FEX2FD9,69,5
395,R13KFSZC0HXLFR,6,5
396,R13KI6TGAS44T3,26,5
397,R13L9JTH1J882D,64,5
398,R13LC8Z8YS1UPD,64,1
399,R13LE5UWKXIVGV,88,5
400,R13LGLMB4U7I9P,14,5
401,R13LO0JKRVA8XY,1,5
402,R13M6PPB1URPTW,1,5
403,R13N55Y3YQ189K,16,5
404,R13NGI25HQ10X3,1,5
405,R13ODLJ9QTGGIE,27,5
406,R13ON1ASFWSELZ,17,5
407,R13P4KLPGZVWK4,7,3
408,R13PNAI2FOQFXH,7,5
409,R13QICT1PRXC6D,11,5
410,R13QOIIG7FTMK0,16,5
411,R13RH10MOTEIS7,2,5
412,R13RZKL92KFKD7,23,5
413,R13SP7GF6OJ9FM,65,4
414,R13SX1ZYT89OMP,3,5
415,R13TS76LMSTZ8P,12,3
416,R13UFGZALS19Q5,18,5
417,R13UG8N8V3UWQE,15,5
418,R13VK0V632Q475,2,5
419,R13VSOHX6TXEVX,74,5
420,R13W26W7WDNS33,19,5
421,R13W8AGBHJL34I,16,5
422,R13WS9MG63TWNK,12,5
423,R13X5H42CNXFCB,24,4
424,R13XXF42WFXWPW,14,5
425,R13YA6XVYK1YPF,10,5
426,R13YO9Z8C8SIN2,37,1
427,R13Z08390V5M8S,20,4
428,R13Z3TQ4MS7PJ8,2,5
429,R13Z5WUTN4BWY4,11,5
430,R13ZD6J5WNHM8Z,9,4
431,R13ZYYM9NWSN23,62,1
432,R1405WNT0CYZ2J,17,5
433,R1406CU62S6ZWL,41,4
434,R140MQZQIXS59B,13,5
435,R140OGX1PSB1R9,13,5
436,R141C6M1LQ4LNH,7,5
437,R141K01VQTCWJ9,1,5
438,R1422SQWOYAHH,1,5
439,R1429VPQRO5I3N,14,5
440,R142A2DFM5CHZ2,22,5
441,R1437K0WS9G4JN,30,5
442,R143B29QIAUOQL,12,5
443,R143MVNZL4RSGT,11,4
444,R1446Z8TG7L9O1,18,4
445,R144BOQW8FBWUT,50,5
446,R144BXA2LCIYU1,7,5
447,R144XQRHTN3V56,12,5
448,R144YJFH1KLZGL,14,5
449,R14504E5IYAKGH,29,5
450,R145IC7S644ICR,18,5
451,R146EQ88KER7LC,5,5
452,R146VM1U9LS7GL,13,5
453,R1470J2IL6R7RJ,3,5
454,R147SSB5FREOPE,15,5
455,R147WLSHCQG47S,45,3
456,R147Y003ZAJ911,48,4
457,R1482LOJMUJF6U,11,5
458,R148VY24TG4EKX,6,5
459,R148XXS0A2MDY6,29,3
460,R1490W0FB8QU0H,12,5
461,R149KS33I9JB38,6,5
462,R149O558VFEYP1,17,5
463,R149SRWXGVQNZF,1,2
464,R14A0YO3IDMGA1,1,5
465,R14A7D9SWDZOPG,31,5
466,R14AI3ET13ZGXT,12,5
467,R14AIG24MRT54X,50,1
468,R14AU1XTE7YR8N,32,5
469,R14B9G0LRZN59Q,1,5
470,R14BRQRV332JL2,42,5
471,R14CIN3IHTHKX1,18,1
